Month,Period Start,Period End,Monthly Expense,Cumulative Expense (rounded)
1,2026-01-01,2026-02-01,4584.2081,4584.21
2,2026-02-01,2026-03-01,4140.5751,8724.78
3,2026-03-01,2026-04-01,4584.2081,13308.99
4,2026-04-01,2026-05-01,4436.3304,17745.32
5,2026-05-01,2026-06-01,4584.2081,22329.53
6,2026-06-01,2026-07-01,4436.3304,26765.86
7,2026-07-01,2026-08-01,4584.2081,31350.07
8,2026-08-01,2026-09-01,4584.2081,35934.28
9,2026-09-01,2026-10-01,4436.3304,40370.61
10,2026-10-01,2026-11-01,4584.2081,44954.81
11,2026-11-01,2026-12-01,4436.3304,49391.15
12,2026-12-01,2027-01-01,4584.2081,53975.35
13,2027-01-01,2027-02-01,4584.2081,58559.56
14,2027-02-01,2027-03-01,4140.5751,62700.14
15,2027-03-01,2027-04-01,4584.2081,67284.34
16,2027-04-01,2027-05-01,4436.3304,71720.68
17,2027-05-01,2027-06-01,4584.2081,76304.88
18,2027-06-01,2027-07-01,4436.3304,80741.21
19,2027-07-01,2027-08-01,4584.2081,85325.42
20,2027-08-01,2027-09-01,4584.2081,89909.63
21,2027-09-01,2027-10-01,4436.3304,94345.96
22,2027-10-01,2027-11-01,4584.2081,98930.17
23,2027-11-01,2027-12-01,4436.3304,103366.50
24,2027-12-01,2028-01-01,4584.2081,107950.71
25,2028-01-01,2028-02-01,4584.2081,112534.91
26,2028-02-01,2028-03-01,4288.4528,116823.37
27,2028-03-01,2028-04-01,4584.2081,121407.58
28,2028-04-01,2028-05-01,4436.3304,125843.91
29,2028-05-01,2028-06-01,4584.2081,130428.11
30,2028-06-01,2028-07-01,4436.3304,134864.44
31,2028-07-01,2028-08-01,4584.2081,139448.65
32,2028-08-01,2028-09-01,4584.2081,144032.86
33,2028-09-01,2028-10-01,4436.3304,148469.19
34,2028-10-01,2028-11-01,4584.2081,153053.40
35,2028-11-01,2028-12-01,4436.3304,157489.73
36,2028-12-01,2029-01-01,4584.2081,162073.94
37,2029-01-01,2029-02-01,4584.2081,166658.15
38,2029-02-01,2029-03-01,4140.5751,170798.72
39,2029-03-01,2029-04-01,4584.2081,175382.93
40,2029-04-01,2029-05-01,4436.3304,179819.26
41,2029-05-01,2029-06-01,4584.2081,184403.47
42,2029-06-01,2029-07-01,4436.3304,188839.80
43,2029-07-01,2029-08-01,4584.2081,193424.01
44,2029-08-01,2029-09-01,4584.2081,198008.21
45,2029-09-01,2029-10-01,4436.3304,202444.54
46,2029-10-01,2029-11-01,4584.2081,207028.75
47,2029-11-01,2029-12-01,4436.3304,211465.08
48,2029-12-01,2030-01-01,4584.2081,216049.29
49,2030-01-01,2030-02-01,4584.2081,220633.50
50,2030-02-01,2030-03-01,4140.5751,224774.07
51,2030-03-01,2030-04-01,4584.2081,229358.28
52,2030-04-01,2030-05-01,4436.3304,233794.61
53,2030-05-01,2030-06-01,4584.2081,238378.82
54,2030-06-01,2030-07-01,4436.3304,242815.15
55,2030-07-01,2030-08-01,4584.2081,247399.36
56,2030-08-01,2030-09-01,4584.2081,251983.57
57,2030-09-01,2030-10-01,4436.3304,256419.90
58,2030-10-01,2030-11-01,4584.2081,261004.11
59,2030-11-01,2030-12-01,4436.3304,265440.44
60,2030-12-01,2031-01-01,4584.2081,270024.64
61,2031-01-01,2031-02-01,4584.2081,274608.85
62,2031-02-01,2031-03-01,4140.5751,278749.43
63,2031-03-01,2031-04-01,4584.2081,283333.64
64,2031-04-01,2031-05-01,4436.3304,287769.97
65,2031-05-01,2031-06-01,4584.2081,292354.17
66,2031-06-01,2031-07-01,4436.3304,296790.50
67,2031-07-01,2031-08-01,4584.2081,301374.71
68,2031-08-01,2031-09-01,4584.2081,305958.92
69,2031-09-01,2031-10-01,4436.3304,310395.25
70,2031-10-01,2031-11-01,4584.2081,314979.46
71,2031-11-01,2031-12-01,4436.3304,319415.79
72,2031-12-01,2032-01-01,4584.2081,324000.00
