Month,Period Start,Period End,Monthly Expense,Cumulative Expense (rounded)
1,2026-01-01,2026-02-01,6874.7433,6874.74
2,2026-02-01,2026-03-01,6209.4456,13084.19
3,2026-03-01,2026-04-01,6874.7433,19958.93
4,2026-04-01,2026-05-01,6652.9774,26611.91
5,2026-05-01,2026-06-01,6874.7433,33486.65
6,2026-06-01,2026-07-01,6652.9774,40139.63
7,2026-07-01,2026-08-01,6874.7433,47014.37
8,2026-08-01,2026-09-01,6874.7433,53889.12
9,2026-09-01,2026-10-01,6652.9774,60542.09
10,2026-10-01,2026-11-01,6874.7433,67416.84
11,2026-11-01,2026-12-01,6652.9774,74069.82
12,2026-12-01,2027-01-01,6874.7433,80944.56
13,2027-01-01,2027-02-01,6874.7433,87819.30
14,2027-02-01,2027-03-01,6209.4456,94028.75
15,2027-03-01,2027-04-01,6874.7433,100903.49
16,2027-04-01,2027-05-01,6652.9774,107556.47
17,2027-05-01,2027-06-01,6874.7433,114431.21
18,2027-06-01,2027-07-01,6652.9774,121084.19
19,2027-07-01,2027-08-01,6874.7433,127958.93
20,2027-08-01,2027-09-01,6874.7433,134833.68
21,2027-09-01,2027-10-01,6652.9774,141486.65
22,2027-10-01,2027-11-01,6874.7433,148361.40
23,2027-11-01,2027-12-01,6652.9774,155014.37
24,2027-12-01,2028-01-01,6874.7433,161889.12
25,2028-01-01,2028-02-01,6874.7433,168763.86
26,2028-02-01,2028-03-01,6431.2115,175195.07
27,2028-03-01,2028-04-01,6874.7433,182069.81
28,2028-04-01,2028-05-01,6652.9774,188722.79
29,2028-05-01,2028-06-01,6874.7433,195597.54
30,2028-06-01,2028-07-01,6652.9774,202250.51
31,2028-07-01,2028-08-01,6874.7433,209125.26
32,2028-08-01,2028-09-01,6874.7433,216000.00
33,2028-09-01,2028-10-01,6652.9774,222652.98
34,2028-10-01,2028-11-01,6874.7433,229527.72
35,2028-11-01,2028-12-01,6652.9774,236180.70
36,2028-12-01,2029-01-01,6874.7433,243055.44
37,2029-01-01,2029-02-01,6874.7433,249930.18
38,2029-02-01,2029-03-01,6209.4456,256139.63
39,2029-03-01,2029-04-01,6874.7433,263014.37
40,2029-04-01,2029-05-01,6652.9774,269667.35
41,2029-05-01,2029-06-01,6874.7433,276542.09
42,2029-06-01,2029-07-01,6652.9774,283195.07
43,2029-07-01,2029-08-01,6874.7433,290069.81
44,2029-08-01,2029-09-01,6874.7433,296944.56
45,2029-09-01,2029-10-01,6652.9774,303597.54
46,2029-10-01,2029-11-01,6874.7433,310472.28
47,2029-11-01,2029-12-01,6652.9774,317125.26
48,2029-12-01,2030-01-01,6874.7433,324000.00
